DesignName,ParticipantID,TrialID,Block1,Block2,VV,OC,visualSearchTime,ErrorCount
Preattentive Variables,4,149,1,14,Shadow,Low,665,0
Preattentive Variables,4,150,1,15,Shadow,High,1789,0
Preattentive Variables,4,151,2,1,Motion,Medium,1309,0
Preattentive Variables,4,152,2,2,Motion,Low,1336,0
Preattentive Variables,4,153,2,3,Motion,High,1001,0
Preattentive Variables,4,154,2,4,Motion,Low,984,0
Preattentive Variables,4,155,2,5,Motion,Medium,1501,0
Preattentive Variables,4,156,2,6,Motion,High,885,0
Preattentive Variables,4,157,2,7,Motion,Medium,898,0
Preattentive Variables,4,158,2,8,Motion,Low,1104,0
Preattentive Variables,4,159,2,9,Motion,High,990,0
Preattentive Variables,4,160,2,10,Motion,Low,887,0
Preattentive Variables,4,161,2,11,Motion,Medium,1489,0
Preattentive Variables,4,162,2,12,Motion,High,2667,0
Preattentive Variables,4,163,2,13,Motion,Medium,1466,0
Preattentive Variables,4,164,2,14,Motion,Low,1045,0
Preattentive Variables,4,165,2,15,Motion,High,4614,0
Preattentive Variables,4,166,3,1,Both,Medium,6152,0
Preattentive Variables,4,167,3,2,Both,Low,2408,0
Preattentive Variables,4,168,3,3,Both,High,6454,0
Preattentive Variables,4,169,3,4,Both,Low,1567,0
Preattentive Variables,4,170,3,5,Both,Medium,7155,0
Preattentive Variables,4,171,3,6,Both,High,4534,0
Preattentive Variables,4,172,3,7,Both,Medium,2993,0
Preattentive Variables,4,173,3,8,Both,Low,2141,0
Preattentive Variables,4,174,3,9,Both,High,2015,1
Preattentive Variables,4,175,3,10,Both,Low,3872,0
Preattentive Variables,4,176,3,11,Both,Medium,5634,0
Preattentive Variables,4,177,3,12,Both,High,6543,0
Preattentive Variables,4,178,3,13,Both,Medium,3034,0
Preattentive Variables,4,179,3,14,Both,Low,1510,0
Preattentive Variables,4,180,3,15,Both,High,3391,0
Preattentive Variables,5,181,1,1,Both,High,24831,0
Preattentive Variables,5,182,1,2,Both,Medium,4146,0
Preattentive Variables,5,183,1,3,Both,Low,3342,0
Preattentive Variables,5,184,1,4,Both,Medium,9422,0
Preattentive Variables,5,185,1,5,Both,High,26469,0
Preattentive Variables,5,186,1,6,Both,Low,2189,0
Preattentive Variables,5,187,1,7,Both,High,3737,0
Preattentive Variables,5,188,1,8,Both,Medium,5817,0
Preattentive Variables,5,189,1,9,Both,Low,4673,0
Preattentive Variables,5,190,1,10,Both,Medium,3781,0
Preattentive Variables,5,191,1,11,Both,High,5927,0
Preattentive Variables,5,192,1,12,Both,Low,5119,0
Preattentive Variables,5,193,1,13,Both,High,6928,0
Preattentive Variables,5,194,1,14,Both,Medium,4791,0
Preattentive Variables,5,195,1,15,Both,Low,4476,0
Preattentive Variables,5,196,2,1,Shadow,High,2726,0
Preattentive Variables,5,197,2,2,Shadow,Medium,2020,0
Preattentive Variables,5,198,2,3,Shadow,Low,1253,0
Preattentive Variables,5,199,2,4,Shadow,Medium,1993,0
Preattentive Variables,5,200,2,5,Shadow,High,2092,0
Preattentive Variables,5,201,2,6,Shadow,Low,1074,0
Preattentive Variables,5,202,2,7,Shadow,High,1047,0
Preattentive Variables,5,203,2,8,Shadow,Medium,1339,0
Preattentive Variables,5,204,2,9,Shadow,Low,1198,0
Preattentive Variables,5,205,2,10,Shadow,Medium,1241,0
Preattentive Variables,5,206,2,11,Shadow,High,3010,0
Preattentive Variables,5,207,2,12,Shadow,Low,1316,0
Preattentive Variables,5,208,2,13,Shadow,High,1712,0
Preattentive Variables,5,209,2,14,Shadow,Medium,1369,0
Preattentive Variables,5,210,2,15,Shadow,Low,1090,0
Preattentive Variables,5,211,3,1,Motion,High,1667,0
Preattentive Variables,5,212,3,2,Motion,Medium,1610,0
Preattentive Variables,5,213,3,3,Motion,Low,1414,0
Preattentive Variables,5,214,3,4,Motion,Medium,1858,0
Preattentive Variables,5,215,3,5,Motion,High,1520,0
Preattentive Variables,5,216,3,6,Motion,Low,1224,0
Preattentive Variables,5,217,3,7,Motion,High,1306,0
Preattentive Variables,5,218,3,8,Motion,Medium,1268,0
Preattentive Variables,5,219,3,9,Motion,Low,1107,0
Preattentive Variables,5,220,3,10,Motion,Medium,1204,0
Preattentive Variables,5,221,3,11,Motion,High,2030,0
Preattentive Variables,5,222,3,12,Motion,Low,1309,0
Preattentive Variables,5,223,3,13,Motion,High,1255,0
Preattentive Variables,5,224,3,14,Motion,Medium,1514,0
Preattentive Variables,5,225,3,15,Motion,Low,1068,0
Preattentive Variables,6,226,1,1,Motion,Low,3659,0
Preattentive Variables,6,227,1,2,Motion,High,2583,0
Preattentive Variables,6,228,1,3,Motion,Medium,1426,0
Preattentive Variables,6,229,1,4,Motion,High,2228,0
Preattentive Variables,6,230,1,5,Motion,Low,1512,0
Preattentive Variables,6,231,1,6,Motion,Medium,1613,0
Preattentive Variables,6,232,1,7,Motion,Low,1381,0
Preattentive Variables,6,233,1,8,Motion,High,1515,0
Preattentive Variables,6,234,1,9,Motion,Medium,1495,0
Preattentive Variables,6,235,1,10,Motion,High,2209,0
Preattentive Variables,6,236,1,11,Motion,Low,1437,0
Preattentive Variables,6,237,1,12,Motion,Medium,1421,0
Preattentive Variables,6,238,1,13,Motion,Low,1220,0
Preattentive Variables,6,239,1,14,Motion,High,2434,0
Preattentive Variables,6,240,1,15,Motion,Medium,1295,0
Preattentive Variables,6,241,2,1,Both,Low,2594,0
Preattentive Variables,6,242,2,2,Both,High,11610,0
Preattentive Variables,6,243,2,3,Both,Medium,8325,0
Preattentive Variables,6,244,2,4,Both,High,5407,0
Preattentive Variables,6,245,2,5,Both,Low,3167,0
Preattentive Variables,6,246,2,6,Both,Medium,2120,0
Preattentive Variables,6,247,2,7,Both,Low,3233,0
Preattentive Variables,6,248,2,8,Both,High,4846,0
Preattentive Variables,6,249,2,9,Both,Medium,8228,0
Preattentive Variables,6,250,2,10,Both,High,16879,0
Preattentive Variables,6,251,2,11,Both,Low,4142,0
Preattentive Variables,6,252,2,12,Both,Medium,5922,0
Preattentive Variables,6,253,2,13,Both,Low,3398,0
Preattentive Variables,6,254,2,14,Both,High,11117,0
Preattentive Variables,6,255,2,15,Both,Medium,6917,0
Preattentive Variables,6,256,3,1,Shadow,Low,1632,0
Preattentive Variables,6,257,3,2,Shadow,High,815,0
Preattentive Variables,6,258,3,3,Shadow,Medium,1686,0
Preattentive Variables,6,259,3,4,Shadow,High,982,0
Preattentive Variables,6,260,3,5,Shadow,Low,1115,0
Preattentive Variables,6,261,3,6,Shadow,Medium,973,0
Preattentive Variables,6,262,3,7,Shadow,Low,802,0
Preattentive Variables,6,263,3,8,Shadow,High,866,0
Preattentive Variables,6,264,3,9,Shadow,Medium,755,0
Preattentive Variables,6,265,3,10,Shadow,High,1047,0
Preattentive Variables,6,266,3,11,Shadow,Low,858,0
Preattentive Variables,6,267,3,12,Shadow,Medium,743,0
Preattentive Variables,6,268,3,13,Shadow,Low,648,0
Preattentive Variables,6,269,3,14,Shadow,High,676,0
Preattentive Variables,6,270,3,15,Shadow,Medium,1037,0
